Series,Administrative,Population,Metro,cat.col,Date,TEPA,Station,latitude,longitude 
40,Cities,448803,No,AAACit,2006 Jan,CM,A,24.8282,121.0142
34,Cities,448803,No,AAACit,2006 Feb,CM,A,24.8282,121.0142
44,Cities,448803,No,AAACit,2006 Mar,CM,A,24.8282,121.0142
37,Cities,448803,No,AAACit,2006 Apr,CM,A,24.8282,121.0142
27,Cities,448803,No,AAACit,2006 May,CM,A,24.8282,121.0142
18,Cities,448803,No,AAACit,2006 Jun,CM,A,24.8282,121.0142
16,Cities,448803,No,AAACit,2006 Jul,CM,A,24.8282,121.0142
29,Cities,448803,No,AAACit,2006 Aug,CM,A,24.8282,121.0142
27,Cities,448803,No,AAACit,2006 Sep,CM,A,24.8282,121.0142
32,Cities,448803,No,AAACit,2006 Oct,CM,A,24.8282,121.0142
36,Cities,448803,No,AAACit,2006 Nov,CM,A,24.8282,121.0142
28,Cities,448803,No,AAACit,2006 Dec,CM,A,24.8282,121.0142
37,Cities,448803,No,AAACit,2007 Jan,CM,A,24.8282,121.0142
NA,Cities,448803,No,AAACit,2007 Feb,CM,A,24.8282,121.0142
37,Cities,448803,No,AAACit,2007 Mar,CM,A,24.8282,121.0142
39,Cities,448803,No,AAACit,2007 Apr,CM,A,24.8282,121.0142
41,Cities,448803,No,AAACit,2007 May,CM,A,24.8282,121.0142
16,Cities,448803,No,AAACit,2007 Jun,CM,A,24.8282,121.0142
21,Cities,448803,No,AAACit,2007 Jul,CM,A,24.8282,121.0142
19,Cities,448803,No,AAACit,2007 Aug,CM,A,24.8282,121.0142
33,Cities,448803,No,AAACit,2007 Sep,CM,A,24.8282,121.0142
26,Cities,448803,No,AAACit,2007 Oct,CM,A,24.8282,121.0142
26,Cities,448803,No,AAACit,2007 Nov,CM,A,24.8282,121.0142
48,Cities,448803,No,AAACit,2007 Dec,CM,A,24.8282,121.0142
38,Cities,448803,No,AAACit,2008 Jan,CM,A,24.8282,121.0142
43,Cities,448803,No,AAACit,2008 Feb,CM,A,24.8282,121.0142
53,Cities,448803,No,AAACit,2008 Mar,CM,A,24.8282,121.0142
37,Cities,448803,No,AAACit,2008 Apr,CM,A,24.8282,121.0142
31,Cities,448803,No,AAACit,2008 May,CM,A,24.8282,121.0142
20,Cities,448803,No,AAACit,2008 Jun,CM,A,24.8282,121.0142
18,Cities,448803,No,AAACit,2008 Jul,CM,A,24.8282,121.0142
28,Cities,448803,No,AAACit,2008 Aug,CM,A,24.8282,121.0142
32,Cities,448803,No,AAACit,2008 Sep,CM,A,24.8282,121.0142
32,Cities,448803,No,AAACit,2008 Oct,CM,A,24.8282,121.0142
28,Cities,448803,No,AAACit,2008 Nov,CM,A,24.8282,121.0142
38,Cities,448803,No,AAACit,2008 Dec,CM,A,24.8282,121.0142
32,Cities,448803,No,AAACit,2009 Jan,CM,A,24.8282,121.0142
40,Cities,448803,No,AAACit,2009 Feb,CM,A,24.8282,121.0142
35,Cities,448803,No,AAACit,2009 Mar,CM,A,24.8282,121.0142
38,Cities,448803,No,AAACit,2009 Apr,CM,A,24.8282,121.0142
37,Cities,448803,No,AAACit,2009 May,CM,A,24.8282,121.0142
25,Cities,448803,No,AAACit,2009 Jun,CM,A,24.8282,121.0142
